(11.1, 61.17)
(32.93, 1.06)
(40.6, 89.73)
(60.96, 74.45)
(32.35, 78.1)
(90.82, 15.84)
(13.32, 42.23)
(14.78, 76.46)
(15.6, 23.05)
(32.64, 43.7)
(67.07, 88.09)
(56.4, 11.35)
(73.4, 44.04)
(67.6, 49.57)
(17.26, 38.47)
(61.31, 81.94)
(52.1, 70.1)
(54.97, 41.75)
(39.22, 78.03)
(50.72, 6.87)
(82.16, 63.11)
(14.92, 26.27)
(27.36, 48.91)
(35.19, 28.32)
(20.2, 86.87)
(26.39, 14.21)
(96.29, 92.43)
(20.69, 18.83)
(11.19, 65.95)
(62.96, 8.73)
(64.53, 24.13)
(18.69, 4.24)
(11.67, 25.21)
(94.02, 8.48)
(66.81, 14.64)
(43.85, 76.33)
(55.93, 39.15)
(98.22, 37.2)
(27.71, 31.13)
(12.06, 17.58)
(65.59, 17.71)
(33.18, 64.69)
(88.45, 38.28)
(73.36, 15.97)
(68.8, 49.06)
(23.99, 96.88)
(20.87, 26.56)
(53.49, 39.04)
(68.95, 67.67)
(55.32, 71.01)
(96.07, 98.22)
(17.76, 66.95)
(19.17, 67.96)
(58.64, 6.34)
(77.96, 39.96)
(73.49, 22.86)
(64.54, 12.73)
(10.38, 20.85)
(71.07, 78.32)
(99.55, 69.18)
(83.62, 9.64)
(79.35, 38.52)
(12.95, 47.27)
(68.2, 7.46)
(97.58, 67.0)
(32.61, 36.79)
(35.04, 56.47)
(28.69, 82.15)
(76.02, 60.42)
(19.92, 4.53)
(18.14, 63.3)
(74.33, 9.47)
(32.27, 94.8)
(85.77, 68.74)
(26.05, 40.76)
(22.93, 34.02)
(41.21, 92.45)
(27.78, 57.04)
(48.09, 99.57)
(57.08, 58.49)
(49.46, 16.88)
(15.54, 35.58)
(5.12, 69.04)
(78.2, 90.76)
(33.44, 96.08)
(55.8, 8.94)
(5.66, 75.39)
(41.75, 89.34)
(8.46, 36.6)
(92.46, 46.13)
(16.82, 81.1)
(57.19, 65.52)
(72.34, 30.35)
(34.5, 49.53)
(34.83, 91.74)
(64.02, 29.63)
(64.03, 16.71)
(7.08, 51.28)
(91.61, 95.35)
(50.85, 62.62)
(93.41, 28.74)
(83.39, 77.93)
(54.55, 59.07)
(4.35, 80.28)
(57.37, 19.37)
(47.12, 85.34)
(54.17, 7.28)
(46.55, 62.96)
(85.36, 63.4)
(2.0, 33.54)
(23.18, 9.82)
(13.05, 78.91)
(96.15, 54.25)
(43.15, 74.08)
(18.8, 91.5)
(6.95, 78.42)
(15.72, 20.95)
(42.07, 36.0)
(29.77, 96.24)
(82.14, 40.53)
(39.76, 11.22)
(36.7, 74.53)
(1.58, 71.25)
(6.89, 23.92)
(82.92, 78.35)
(44.72, 30.7)
(80.97, 22.38)
(88.34, 73.33)
(32.98, 3.32)
(48.42, 47.75)
(93.79, 50.75)
(25.25, 81.69)
(54.34, 81.43)
(45.21, 6.55)
(77.56, 83.2)
(96.94, 2.3)
(54.21, 75.76)
(46.65, 98.82)
(28.94, 31.78)
(64.21, 59.12)
(13.05, 61.4)
(28.16, 65.27)
(78.49, 4.75)
(73.1, 20.58)
(37.66, 92.93)
(8.52, 58.54)
(12.21, 83.79)
(82.14, 13.27)
(87.1, 27.7)
(82.39, 9.42)
(56.29, 38.02)
(89.87, 20.82)
(31.02, 37.7)
(7.89, 60.86)
(24.18, 76.43)
(79.15, 9.47)
(15.84, 23.57)
(20.7, 68.27)
(80.15, 14.44)
(45.64, 81.91)
(44.27, 28.17)
(36.77, 11.84)
(21.25, 91.95)
(85.36, 75.43)
(74.58, 32.22)
(21.15, 37.14)
(52.41, 1.02)
(27.59, 93.69)
(43.67, 23.29)
(9.49, 65.42)
(11.4, 78.34)
(98.87, 6.59)
(28.4, 89.43)
(25.04, 80.43)
(39.11, 37.78)
(22.89, 21.89)
(48.97, 64.24)
(38.67, 85.23)
(80.32, 17.95)
(65.66, 76.67)
(10.01, 33.25)
(89.76, 16.85)
(31.65, 52.77)
(67.77, 17.16)
(22.5, 29.54)
(94.43, 44.79)
(33.61, 32.81)
(53.74, 73.36)
(48.66, 60.88)
(12.24, 25.56)
(32.73, 58.89)
(53.18, 64.34)
(95.24, 18.64)
(14.81, 92.76)
(22.54, 11.42)
(18.77, 30.09)
(79.02, 58.6)
(65.99, 21.72)
(57.03, 62.06)
(57.19, 99.22)
(48.17, 37.57)
(67.45, 2.0)
(93.1, 25.66)
(89.15, 96.72)
(94.35, 67.02)
(45.95, 28.82)
(82.73, 18.64)
(26.57, 7.94)
(86.64, 43.02)
(87.85, 1.42)
(82.83, 73.26)
(76.06, 67.29)
(80.05, 64.28)
(12.58, 67.32)
(69.55, 89.96)
(95.87, 92.37)
(98.96, 29.58)
(15.46, 40.29)
(15.91, 77.24)
(10.78, 3.79)
(28.79, 65.66)
(54.83, 41.49)
(70.79, 74.27)
(10.08, 53.11)
(94.48, 72.91)
(29.14, 34.54)
(8.53, 44.56)
(50.44, 49.8)
(39.78, 50.79)
(55.05, 68.64)
(90.62, 57.32)
(98.41, 86.05)
(40.45, 15.72)
(41.28, 45.33)
(80.12, 44.59)
(96.71, 25.18)
(56.25, 41.17)
(21.3, 33.52)
(59.77, 23.88)
(32.81, 27.97)
(39.41, 65.26)
(11.41, 42.56)
(29.43, 67.42)
(63.88, 90.99)
(75.65, 4.18)
(35.31, 51.51)
(59.92, 52.19)
(76.36, 0.78)
(18.56, 27.0)
(69.93, 92.21)
(7.22, 48.38)
(78.7, 34.8)
(25.93, 94.43)
(79.78, 21.77)
(94.48, 55.96)
(51.53, 20.67)
(40.04, 10.84)
(93.48, 21.69)
(82.58, 31.83)
(30.04, 22.4)
(89.04, 23.78)
(91.62, 22.35)
(17.38, 30.07)
(43.36, 96.61)
(62.67, 85.61)
(68.35, 86.27)
(17.23, 40.78)
(24.65, 31.56)
(56.0, 25.14)
(24.91, 93.31)
(47.37, 28.79)
(35.22, 44.55)
